次の通信のうち優先順位が最も高いものはどれか。,方向探知に関する通信,航行援助に関する通信,航空交通管制に関する通信,航空機の運航に関する通信,,1,201603,航空通信,1,,
航空保安無線施設の説明で誤りはどれか。,ILS(instrument landing system) は最終進入中の航空機に滑走路に対する正確な進入経路(方向と降下経路)を示す施設である。,DME(distance measuring equipment) は、航空機までの距離を測定しレーダー画面上に表示する装置である。,NDB(non-directional radio beacon) は無指向性無線標識施設であり、機上のADFにより機軸からの局方位を知ることができる。,VOR(VHF omni-directional radio range) は超短波全方向式無線標識施設であり、基本信号と方位による可変信号とを発射している。,,2,201603,航空通信,2,,
日本国内(航空局のVHF周波数の通信圏内)において、航空機局相互間で気象状況 及び航空機の相互の位置等飛行情報に関する通信を行う場合の周波数で正しいものは どれか。,121.50 MHz,123.45 MHz,120.10 MHz,122.60 MHz,,4,201603,航空通信,3,,
有視界飛行方式の飛行計画の通報について誤りはどれか。,空港事務所、空港出張所及び空港・航空路監視レーダー事務所に通報する。,電話を通じて口頭により通報することはできない。,離陸しようとする場外離着陸場において飛行計画を通報する手段のない場合は、飛行を開始した後に出発地を中心として半径9km以内の範囲において速やかに通報する。,SATサービスに登録すれば、インターネットにより通報することができる。,,2,201603,航空通信,4,,
有視界飛行方式において、飛行計画に記載する移動開始時刻について正しいものはどれか。,離陸予定時刻,搭乗予定時刻,ブロックアウト(ランプアウト)の予定時刻,離陸滑走開始予定時刻,,3,201603,航空通信,5,,
管制圏内における特別有視界飛行方式について誤りはどれか。,空港等が有視界気象状態であっても、操縦者からの要求があれば特別有視界飛行方式の許可が発出される。,雲から離れて飛行しなければならない。,"飛行視程1,000m以上を維持して飛行しなければならない。",地表または水面を引き続き視認できる状態で飛行しなければならない。,,3,201603,航空通信,6,,
QNH適用区域内における高度計規正方式について誤りはどれか。,出発地のQNHが入手できない場合は29.92inHgをセットする。,離陸前にタワー等からQNHを入手した場合は当該QNHをセットする。,"平均海面上14,000ft未満は最寄りの飛行経路上の地点のQNHをセットする。","平均海面上14,000ft以上はQNEをセットする。",,1,201603,航空通信,7,,
有視界飛行方式における通信機故障の対処について誤りはどれか。,受信機のみの故障が考えられるので一方送信を行う。,VFRを維持して着陸できる最寄りの飛行場に着陸する。,周波数切り換え直後であれば前の周波数に戻す。,トランスポンダーを7500にセットする。,,4,201603,航空通信,8,,
"MC 090°をHDG 060°でトラッキング中「Traffic, 5 miles east of you,   northeast-bound, Boeing787」との情報を管制機関より受けた場合、当該航空機 は自機の機首方位からどの方向に見えるか。",左30度前方,正面,右30度前方,右真横,,3,201603,航空通信,9,,
管制所の無線呼出符号(コールサイン)について誤りはどれか。,管制区管制所は札幌、東京、福岡及び那覇の地名に「コントロール」が付けられる。,飛行場管制業務を担当する管制席のコールサインは「レディオ」が使われる。,着陸誘導管制業務を担当する管制席のコールサインは「GCA」が使われる。,TCAアドバイザリー業務を担当する管制席のコールサインは「TCA」が使われる。,,2,201603,航空通信,10,,
航空機局の無線電話呼出符号(コールサイン)について誤りはどれか。,通信を設定するときは完全なコールサインを使用しなければならない。,航空機局が通信設定時に使用したコールサインが完全なコールサインと異なっていた場合でも、管制機関等は航空機局が使用したコールサインによって応答する。,通信が設定されたのち混乱の生ずるおそれがない場合、管制機関は航空機局のコールサインを簡略化することができる。,航空機局は管制機関からコールサインを簡略化された場合でも、完全なコールサインを使用して応答しなければならない。,,4,201603,航空通信,11,,
送信要領について誤りはどれか。,通信の設定(呼び出し及び応答)に引き続いて交信が行われる場合で、混同のおそれがないときは相手局(管制機関等)の呼出符号の送信を省略することができる。,通信の設定が行われた後の交信で混同あるいは誤解のおそれがないときは、「roger」、「over」の用語の送信を省略することができる。,一回の交信が終了し通信が継続されている場合において、再度同一管制機関を同一周波数で呼び出す場合でも、通信の設定を行わなければならない。,送信は原則として標準的な通信の用語を使用し、用語以外の通常会話で送信する場合も簡潔に行うことが肝要である。,,3,201603,航空通信,12,,
通信の一般用語「CORRECTION」の意義で正しいものはどれか。,確認して下さい。,送信に誤りがありました。正しくは......です。,ちがいます。承認されません又は正しくありません。,送信した通報は取り消して下さい。,,2,201603,航空通信,13,,
通信を行うにあたっての注意点を述べたもので誤りはどれか。,送信速度は、1分間に100語を超えない平均した速度を標準とする。,送信速度は、1分間に100語を超えない平均した速度を標準とする。,口とマイクロフォンの間の距離を一定に維持する。,航空機局は航空局に対する呼出しを行っても応答がないときは、5秒以内に再び呼び出しを行う。,,4,201603,航空通信,14,,
試験通信において受信の感明度を通報する場合の「困難だが聞き取れる」を意味する数字で正しいものはどれか。,2,3,4,5,,2,201603,航空通信,15,,
飛行援助センター(FSC)に関する記述で誤りはどれか。,飛行場管制業務を行っている。,飛行場管制業務を行っている。,広域対空援助業務を行う場合のコールサインは「インフォメーション」である。,飛行中の航空機からの位置通報、飛行計画の変更等の運航援助を行っている。,,1,201603,航空通信,16,,
オプションアプローチの許可について誤りはどれか。,「CLEARED OPTION」の用語が用いられる。,「ストップアンドゴー」は含まれる。,「着陸」は含まれる。,「ローアプローチ」は含まれない。,,4,201603,航空通信,17,,
遭難通信について誤りはどれか。,遭難信号「MAYDAY(なるべく3回)」に引き続き行う。,緊急用周波数以外を使用してはならない。,遭難通信を行った航空機が遭難状態を脱したときはできるだけ速やかに、遭難通信を行った周波数で遭難状態取消しの通報を送信する。,他の全ての通信に対して絶対的な優先権をもっている。,,2,201603,航空通信,18,,
指向信号灯について誤りはどれか。,「緑色および赤色の交互閃光」は、「注意せよ」を意味する。,飛行中の航空機に対する「赤色の不動光」は、「着陸してはならない」を意味する。,地上において「白色の閃光」を受けた場合は、「飛行場の出発点に帰れ」を意味する。,飛行場管制業務の行われている空港等で使用される。,,2,201603,航空通信,19,,
「警戒の段階」について正しいものはどれか。,拡大通信捜索開始後1時間を経ても当該航空機の情報が明らかでない場合に発動される。,航空機の航行性能が悪化したが不時着のおそれがある程でない旨の連絡があった場合に発動される。,航空機がその予定時刻から30分(ジェット機にあっては15分)過ぎても目的地に到着しない場合に発動される。,航空機がその予定時刻から30分(ジェット機にあっては15分)過ぎても目的地に到着しない場合に発動される。,,2,201603,航空通信,20,,
右の地上天気図における解析時刻で正しいものはどれか。ただし日本の日時とする。,11日15時00分,11日15時00分,12日03時00分,12日09時00分,,4,201603,航空気象,1,,TRUE
地上天気図に使用される海上警報「SW」で正しいものはどれか。,一般警報,強風警報,暴風警報,台風警報,,3,201603,航空気象,2,,
"標準大気における5,000ftの気温で正しいものはどれか。",5°C,0°C,- 5°C,- 10°C,,1,201603,航空気象,3,,
霧が発生しやすい一般的な条件で誤りはどれか。,風速は弱いが静穏でないこと,地表面が冷たいこと,気団の型は、下層で湿度の高いこと,気温と露点温度が離れていること,,4,201603,航空気象,4,,
北半球の高気圧の風の吹き方で正しいものはどれか。,時計回りに吹き出す。,反時計回りに吹き出す。,時計回りに吹き込む。,反時計回りに吹き込む。,,1,201603,航空気象,5,,
ある乾燥した気塊を機械的に上昇させたとき、周囲の空気より温度が低くなった。この大気の安定、不安定について正しいものはどれか。,この大気は安定といえる。,この大気は不安定といえる。,この大気は条件付き不安定といえる。,これだけでは何ともいえない。,,1,201603,航空気象,6,,
気温の日変化について誤りはどれか。,14時頃が最高となり、日出頃が最低となる。,最低最高温度の差は、岩石や裸地の地面近くでは小さい。,最低最高温度の差は、水深の深い水面上では小さい。,"1,500m以上の高度では昼夜の気温差はほとんどない。",,2,201603,航空気象,7,,
寒冷前線通過後の一般的な気象現象で誤りはどれか。,風向の変化,気圧の上昇,気温の急下降,天気の悪化,,4,201603,航空気象,8,,
山岳波の中の乱気流が最も激しいところはどれか。,"山頂高度の上5,000ft以上の高度",山頂風上側の10km周辺,山頂高度の風下側のロール雲周辺,山頂のキャップ雲周辺,,3,201603,航空気象,9,,
850hPa天気図の説明として誤りはどれか。,対流圏の中間層にあたり、大気の流れを知るために最適である。,この高さの湿った暖気移流は雨の予報に利用される。,山岳地帯を除けば気象要素は下層大気の代表的な値を示す。,前線系の解析に最適である。,,1,201603,航空気象,10,,
10 ktの風速はおおよそ毎秒何メートルか。,5 m/s,10 m/s,20 m/s,40 m/s,,1,201603,航空気象,11,,
ある前線を図式化したものである。正しいものはどれか。,停滞前線,閉塞前線,寒冷前線,温暖前線,,4,201603,航空気象,12,,TRUE
温暖型移動性高気圧について誤りはどれか。,すぐ天気が悪くなる。,一般的に春・秋頃に多く現れる。,背が高い。,移動速度が遅い。,,1,201603,航空気象,13,,
10種雲形の雲のうち、乱層雲の説明で正しいものはどれか。,ハケで掃いたような雲である。,上部はカナトコ状に広がっていることが多い。,ウロコ状の上層雲である。,中層雲として発達するのが普通だが、下層及び上層に及ぶものも多い。,,4,201603,航空気象,14,,
暖気団の特性について誤りはどれか。,気流は滑らかである。,安定度は不安定な気温減率である。,視程は悪い。,雲形は層雲系である。,,2,201603,航空気象,15,,
METARにおいて「もや」を表す記号として正しいものはどれか。,HZ,BR,FU,VA,,2,201603,航空気象,16,,
運航用飛行場予報(TAF)の有効時間について正しいものはどれか。,10時間,20時間,30時間,40時間,,3,201603,航空気象,17,,
運航用飛行場予報(TAF)で使用される変化指示符BECMGについての説明で、正しいものはどれか。,気象状態の一時的変化が頻繁に、または時々発生する場合に使用される。,変化した時間が1時間以上続き、再び変化前の気象状態に戻る場合に使用される。,重要な天気現象が終息すると予想される場合に使用される。,変化のはじまる時刻から終わる時刻内に規則的に、またはこの期間内のある時刻に不規則に変化し、その後は変化後の状態が続く場合に使われる。,,4,201603,航空気象,18,,
発達した積乱雲の近くで予想される気象現象で誤りはどれか。,後方乱気流,落雷,ひょう,初期突風,,1,201603,航空気象,19,,
下記のMETARの解読で誤りはどれか。,風向風速は真方位080度から16ktである。,卓越視程は3200ftである。,外気温は17°Cである。,高度計規正値は29.69inHgである。,,2,201603,航空気象,20,RJFR 200300Z 08016KT 3200 RA FEW010 SCT020 BKN030 17/15 Q1005 RMK 1CU010 4CU020 6SC030 A2969,
アンチスキッド制御装置の機能で誤りはどれか。,Normal Skid Control,Locked Wheel Skid Control,Emergency Brake Control,Touchdown Protection,,3,201603,構造,1,,
チューブレス・タイヤの特徴で誤りはどれか。,取付け取外し作業には特別な工具は不要である。,全体の重量が軽くできる。,パンクの頻度が少ない。,運用中の温度上昇が少ない。,,1,201603,構造,2,,
車輪の シミーの説明について正しいものはどれか。,車輪の上下方向の振動のことである。,車輪の首振り振動のことである。,着陸接地時の衝撃のことである。,タイヤの破裂(バースト)のことである。,,2,201603,構造,3,,
与圧された操縦室の風防でウインド・ヒータを使用する目的で誤りはどれか。,内側の曇り止め,外側の着氷防止,操縦室の暖房,衝撃吸収能力の増加,,3,201603,構造,4,,
ウイングレット(Winglet)の説明で誤りはどれか。,燃料消費量を改善させる。,主翼端に立てられた小翼である。,翼端での吹き上げを抑える。,大型機にのみ装備されている。,,4,201603,構造,5,,
飛行機の姿勢の制御を行う主操縦翼面で誤りはどれか。,ステアリング,エレベータ,エルロン,ラダー,,1,201603,構造,6,,
フライ・バイ・ワイヤ操縦装置の説明で誤りはどれか。,操縦索や滑車等の機械部品に替えて、電線を流れる電気信号により舵面作動機を制御するものである。,重量軽減化が計られる。,性能、経済性の向上に貢献できる。,整備作業の増加につながる。,,4,201603,構造,7,,
高揚力装置について誤りはどれか。,人力と機械的リンクで作動させるものもある。,クルーガ・フラップは、後縁フラップの一種である。,非対称状態になると危険なため、これを防ぐ工夫がなされている。,ファウラー・フラップは、後縁フラップの一種である。,,2,201603,構造,8,,
飛行機の構造について誤りはどれか。,翼上面についているスピード・ブレーキは、スポイラと呼ばれることがある。,飛行機のブレーキは左右の方向舵ペダルの上方を踏むことにより作動する。,警報灯(直ちに修正を要する緊急状態を示す灯火)は「こはく色」を用いることになっている。,大型機では、水平安定板のトーション・ボックス内に燃料タンクを装備する場合がある。,,3,201603,構造,9,,
チタニウム合金の一般的性質について誤りはどれか。,非磁性体で、磁石はくっつかない。,比強度が大きい。,耐熱性は一般的なアルミ合金より良好である。,耐食性は一般的なアルミ合金より劣る。,,4,201603,構造,10,,
航空法第2条(定義)で定める「航空機」について誤りはどれか。,人が乗って航空の用に供することができる飛行機,人が乗って航空の用に供することができる回転翼航空機,人が乗って航空の用に供することができる滑空機,人が乗って航空の用に供することができる熱気球,,4,201603,航空法規等,1,,
航空法第2条(定義)で誤りはどれか。,「航空交通情報区」とは、航空交通管制区が設定された空域以外の空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制区」とは、地表又は水面から200m以上の高さの空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制圏」とは、航空機の離陸及び着陸が頻繁に実施される国土交通大 臣が告示で指定する空港等並びにその付近の上空の空域であつて、空港等及びそ の上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通情報圏」とは、航空交通管制圏が設定された空港等以外の国土交通大臣が告示で指定する空港等及びその付近の上空の空域であつて、空港等及びその上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,,1,201603,航空法規等,2,,
有視界気象状態の条件で正しいものはどれか。,"3,000m以上の高度で飛行する場合の飛行視程は、5,000m以上であること。","3,000m未満の高度で管制区、管制圏又は情報圏を飛行する場合の飛行視程は、8,000m以上であること。","3,000m未満の高度で管制区、管制圏及び情報圏以外を飛行する場合の飛行視程は、1,500m以上であること。","管制圏又は情報圏内にある空港等において、離陸し、又は着陸しようとする場合の地上視程は、3,000m以上であること。",,3,201603,航空法規等,3,,
航空通信士の技能証明の要件のうち、年齢に関する規定で正しいものはどれか。,16歳以上,17歳以上,18歳以上,21歳以上,,2,201603,航空法規等,4,,
航空法第28条(業務範囲)で定める航空通信士の業務範囲で正しいものはどれか。,航空機に乗り組んで発動機及び機体の取扱を行うこと。,航空機に乗り組んでその位置及び針路の測定を行うこと。,航空機に乗り組んで無線設備の操作を行うこと。,航空機に乗り組んで無線設備の保守、点検を行うこと。,,3,201603,航空法規等,5,,
技能証明等の取り消しの適用について誤りはどれか。,航空法に違反したとき。,航空法に基づく処分に違反したとき。,航空従事者としての職務を行うに当り、非行又は重大な過失があったとき。,航空通信士は無線設備の操作のみを行うため適用はされない。,,4,201603,航空法規等,6,,
航空法施行規則第61条の2(身体検査基準及び航空身体検査証明書)に定められた航空通信士の身体検査基準について正しいものはどれか。,第1種身体検査基準,第2種身体検査基準,第3種身体検査基準,身体検査基準については定められていない。,,2,201603,航空法規等,7,,
航空法第58条(航空日誌)に関して国土交通省令で定める搭載用航空日誌に記載すべき事項のうち航行に関する記録で誤りはどれか。,航行目的又は便名,乗客の人数,出発地及び出発時刻,航行時間,,2,201603,航空法規等,8,,
航空法第59条で定める「その他国土交通省令で定める航空の安全のために必要な書類」について誤りはどれか。,トレーニング・マニュアル,運用限界等指定書,飛行規程,飛行の区間、飛行の方式その他飛行の特性に応じて適切な航空図,,1,201603,航空法規等,9,,
航空機に装備する救急用具の点検期間で誤りはどれか。,非常信号灯、携帯灯及び防水携帯灯        :  60日,救命胴衣、これに相当する救急用具及び救命ボート : 180日,救急箱                     : 180日,非常食糧                    : 180日,,3,201603,航空法規等,10,,
航空法第70条(酒精飲料等)による、酒精飲料又は麻酔剤その他の薬品を服用した後の航空業務の制限で正しいものはどれか。,正常な運航ができないおそれがある間は、航空業務を行ってはならない。,酒精飲料等を飲んだ直後であっても、歩行困難や言語不明瞭でなければ航空業務を行ってもよい。,呼気中アルコール濃度0.15mg/l以上の間は航空業務を行ってはならない。,酒精飲料等を飲んだ後、12時間は航空業務を行ってはならない。,,1,201603,航空法規等,11,,
航空法第71条の2(操縦者の見張り義務)で正しいものはどれか。,国土交通大臣の指示に従っている航行の場合は見張りの義務はない。,雲が多いところを飛行中は見張りの義務はない。,夜間飛行中は見張りの義務はない。,当該航空機外の物件を視認できない気象状態の下にある場合を除き、他の航空機その他の物件と衝突しないように見張りをしなければならない。,,4,201603,航空法規等,12,,
航空法第26条(技能証明の要件)で定められた航空通信士の技能証明の要件のうち、正しいものはどれか。,電波法の無線従事者の資格である第一級総合無線通信士、第二級総合無線通信士又は航空無線通信士の資格を受けた者でなければ技能証明を受けることができない。,電波法の無線従事者の資格である第一級海上無線通信士、第二級海上無線通信士又は航空無線通信士の資格を受けた者でなければ技能証明を受けることができない。,電波法の無線従事者の資格である第一級から第三級の総合無線通信士又は航空無線通信士の資格を受けた者でなければ技能証明を受けることができない。,電波法の無線従事者の資格である第一級から第三級の海上無線通信士又は航空無線通信士の資格を受けた者でなければ技能証明を受けることができない。,,1,201603,航空法規等,13,,
航空法第75条で定める、機長が、航空機の航行中、その航空機に急迫した危難が生じた場合にとらなければならない措置で正しいものはどれか。,国土交通省令で定めるところにより、国土交通大臣にその旨を報告しなければならない。,最寄の航空交通管制機関に連絡しなければならない。,国土交通大臣が航空交通の安全を考慮して与える指示に従つて航行しなければならない。,旅客の救助及び地上又は水上の人又は物件に対する危難の防止に必要な手段を尽くさなければならない。,,4,201603,航空法規等,14,,
航空法第76条(報告の義務)に基づき、機長が国土交通省令で定めるところにより国土交通大臣にその旨を報告しなければならない内容で誤りはどれか。,航空機の墜落、衝突又は火災,航空機による人の死傷又は物件の損壊,航空機内に持ち込んだ動物の死,他の航空機との接触,,3,201603,航空法規等,15,,
高度900m以下の航空交通管制圏をピストン発動機を装備する航空機で航行するときの速度の制限で正しいものはどれか。ただし国土交通大臣の許可を受けた場合を除く。,指示対気速度180kt,指示対気速度170kt,指示対気速度160kt,指示対気速度150kt,,3,201603,航空法規等,16,,
航空法施行規則に定める進路権に関する記述で誤りはどれか。,正面又はこれに近い角度で接近する飛行中の同順位の航空機相互間にあつては、互に進路を右に変えなければならない。,飛行中の同順位の航空機相互間にあつては、他の航空機を左側に見る航空機が進路を譲らなければならない。,前方に飛行中の航空機を他の航空機が追い越そうとする場合(上昇又は降下による追越を含む。)には、後者は、前者の右側を通過しなければならない。,進路権を有する航空機は、その進路及び速度を維持しなければならない。,,2,201603,航空法規等,17,,
航空法施行規則第188条(地上移動)に定める航空機が空港等内において地上を移動する場合の基準で誤りはどれか。,人力により移動させてはならない。,前方を十分に監視すること。,動力装置を制御すること又は制動装置を軽度に使用することにより、速やかに且つ安全に停止することができる速度であること。,航空機その他の物件と衝突のおそれのある場合は、地上誘導員を配置すること。,,1,201603,航空法規等,18,,
航空法第83条(衝突予防等)のうち、空港等付近の航行方法に関する記述で誤りはどれか。,他の航空機に続いて離陸しようとする場合には、その航空機が離陸して着陸帯の末端を通過する前に、離陸のための滑走を始めないこと。,他の航空機に続いて着陸しようとする場合には、その航空機が着陸して着陸帯の外に出る前に、着陸のために当該空港等の区域内に進入しないこと。,離陸する他の航空機に続いて着陸しようとする場合には、その航空機が離陸のための滑走を始める前に、着陸のために当該空港等の区域内に進入しないこと。,着陸する他の航空機に続いて離陸しようとする場合には、その航空機が着陸して着陸帯の外に出る前に、離陸のための滑走を始めないこと。,,3,201603,航空法規等,19,,
航空法施行規則第203条第1項に定める有視界飛行方式に係る飛行計画により明らかにしなければならない事項で正しいものはどれか。,航空機の名称、等級,巡航高度における真対気速度,最初の着陸地及び離陸した後当該着陸地に着陸するまでの所要時間,ガロンで表された燃料搭載量,,2,201603,航空法規等,20,,
次のうち航法の3作業でないものはどれか。,航空機の位置を確認すること。,航空機の針路を算出すること。,所要の地点における風を算出すること。,所要の地点における到達時刻を予想すること。,,3,201603,空中航法,1,,
地球に関する用語について誤りはどれか。,球をその中心を含む平面で切るときにできる円周を大圏といい、中心を含まない平面で切るときにできる円周を小圏という。,両極を通って赤道に直行する大圏を子午線という。,二地点を通る各平行圏が切りとった子午線上の角距離を経差あるいは変経という。,地球面上において、各子午線と同一の角度で交わる曲線を航程線という。,,3,201603,空中航法,2,,
航空図について誤りはどれか。,メルカトル航空図では、赤道と子午線以外の大圏は、赤道から遠ざかる曲線になる。,メルカトル航空図では、子午線が平行で航程線は直線である。,ランバート航空図では、大圏はほぼ直線で、最短距離に近いコースが得られる。,ランバート航空図では、航程線が極に引きつけられる曲線になる。,,4,201603,空中航法,3,,
風力三角形に関する記述について誤りはどれか。,計画の風力三角形において、TCからTHへの角度を偏流修正角(WCA)という。,計画の風力三角形において、TCから右に修正する角度をプラス(+)の偏流修正角(WCA)という。,飛行中の風力三角形において、THとTRの成す角度を偏流角(Drift Angle)という。,飛行中の風力三角形において、TRを基準としてTHが右にあれば右偏流(Right:R)といい、角度をもって表す。,,4,201603,空中航法,4,,
北半球における磁気羅針儀の動的誤差について誤りはどれか。,北の針路から東の方へ変針するときは、コンパスによる旋回角度は実際の旋回角度より過小指示するため、過大に旋回してしまう。,北の針路から東の方へ変針するときは、コンパスによる旋回角度は実際の旋回角度より過小指示するため、過大に旋回してしまう。,東の針路で増速(加速)すると北寄りの針路を指す。,西の針路で減速すると南寄りの針路を指す。,,2,201603,空中航法,5,,
同じ気圧の空域を同じ計器高度で飛行している場合の説明で、正しいものはどれか。,真高度は気温が変化しても変わらない。,気温が低い空域から高い空域へ飛行する場合は真高度は低くなる。,気温が高い空域から低い空域へ飛行する場合は真高度は低くなる。,,,3,201603,空中航法,6,,
飛行場管制業務が実施されている空港等において、VFRにて管制圏に進入しようと するときに、目視位置通報点上空で管制機関に通報する内容で航空路誌に定められ ていないものはどれか。,現在位置,速度,高度,機長の意向,,2,201603,空中航法,7,,
次の燃料消費量のうち最も少ないものはどれか。,単位時間あたりの燃料消費が25 gal/hのときの24分間の燃料消費量,単位時間あたりの燃料消費が18 gal/hのときの32分間の燃料消費量,単位時間あたりの燃料消費が27 gal/hのときの22分間の燃料消費量,単位時間あたりの燃料消費が15 gal/hのときの44分間の燃料消費量,,2,201603,空中航法,8,,
"対地高度9,000 ftを飛行中、チェックポイントを「真横右下45度」に発見した。このときの機体からチェックポイントまでの水平距離で正しいものはどれか。",約0.5 nm,約1.0 nm,約1.5 nm,約2.0 nm,,3,201603,空中航法,9,,
飛行中、第一チェックポイントの右正横1.5nmに到達していた。出発点から 第一チェックポイントまで22nm、第二チェックポイントまで28nmのときに 第二チェックポイントに向かうための針路修正量のうち最も近いものはどれか。,左へ6度,左へ7度,左へ8度,左へ9度,,2,201603,空中航法,10,,
